Age,Gender,Height,Weight,BMI,BMI Category
29,Male,1.8205207456093635,76.8119746214605,23.175956402141907,Normal
23,Male,1.9454984694492776,77.72115363470942,20.534184099170663,Normal
57,Female,1.7427535916333587,87.55872592340654,28.828859433857147,Overweight
41,Male,1.7583181917786923,89.47335605817275,28.940017462117137,Overweight
19,Male,1.7225701472862902,69.9639425959133,23.578731761973188,Normal
26,Female,1.4985037637955143,62.91362730046907,28.01747861096437,Overweight
33,Male,1.8647383078052528,53.59834106266945,15.414007375282267,Underweight
63,Female,1.7430993878164431,105.0780612405418,34.583404983732585,Obese
59,Female,1.8189825305895728,87.69835784862512,26.505402583426694,Overweight
65,Male,1.710348655262098,74.79890132999351,25.56971679010589,Overweight
55,Female,1.4695780253227806,67.39965575959646,31.208462952896408,Obese
43,Male,1.742247639916897,88.12823265342732,29.033225748370665,Overweight
36,Female,1.7114955267972547,68.59003882079857,23.4158275972029,Normal
51,Female,1.691677419559802,85.60970791954526,29.914924461464512,Obese
35,Male,1.928489682072484,93.57970614897076,25.16210891558304,Overweight
27,Female,1.6116679092457993,66.83983009628085,25.732632648925755,Overweight
62,Male,1.870008710022792,79.1747925190742,22.641212207636016,Normal
62,Male,1.8663828778952147,78.52224622293157,22.541936985347636,Normal
41,Female,1.796553821310825,80.44258677448136,24.923301023935203,Overweight
23,Female,1.7392782165650489,81.13066662743725,26.81926855083665,Overweight
56,Male,1.977931342576701,78.23640694719901,19.997995770435548,Normal
60,Male,1.899318133095511,94.43779908801352,26.178841762432565,Overweight
58,Female,1.583891088625709,71.92683942208336,28.67083533236658,Overweight
59,Female,1.696171735686015,96.762413305645,33.63311151902649,Obese
34,Male,1.724531300559586,103.17132593472068,34.69100243416352,Obese
59,Female,1.6290897531553448,90.72824200193575,34.186329312965896,Obese
21,Male,1.893904452487276,101.49655198603412,28.296658834268577,Overweight
32,Male,1.9243768948544728,98.56277403471232,26.615378726084572,Overweight
59,Male,1.9053625317858995,78.36672657888828,21.58621334070295,Normal
47,Male,1.7073678296102195,97.97924434434805,33.61088108923058,Obese
43,Female,1.7403338923384024,76.81872435142272,25.363076699406797,Overweight
58,Female,1.732133661453636,100.0356608182885,33.34203031690368,Obese
46,Female,1.7960844753468197,91.20145268113006,28.271460061053823,Overweight
47,Male,1.8092833081795132,104.07069395625808,31.79181315647996,Obese
39,Female,1.8243771799636497,61.15067408773928,18.37265780377904,Underweight
48,Male,1.9708413328682992,107.69591594337578,27.726554898414864,Overweight
33,Male,1.7348822020900991,57.56968710192194,19.127309517256457,Normal
32,Male,1.97046690783324,88.41572777282536,22.771478783841637,Normal
62,Male,1.9323492118336365,73.81231407491309,19.76776603796681,Normal
35,Female,1.755242045691617,104.43714672359704,33.89853822767887,Obese
28,Female,1.58532157933202,58.06326289422947,23.102910467170368,Normal
22,Female,1.798791725150922,99.36998652628864,30.710965408649987,Obese
63,Female,1.4770795258364962,67.20306778020192,30.80217203624501,Obese
63,Male,1.9315443238625292,96.99202257822272,25.997204997440548,Overweight
42,Male,1.9472469909970136,71.51307788663478,18.860073783413423,Normal
51,Female,1.746748513856306,73.53059165893546,24.099459127027988,Normal
62,Female,1.4570439580228165,71.50112131198561,33.679648009303776,Obese
43,Male,1.9461803842018843,65.38342359965482,17.26241191247746,Underweight
31,Female,1.6762479047760042,85.65970393550928,30.485973865441547,Obese
23,Female,1.7089178544461907,81.83307484380201,28.021184874675228,Overweight
35,Female,1.642221327236414,84.97026392688562,31.50674887019718,Obese
43,Female,1.7314413366060015,61.59668675146136,20.546686236041687,Normal
52,Male,1.912291102213385,95.23154383513832,26.041908960219665,Overweight
23,Male,1.896796268719052,80.03680379191704,22.24581718022519,Normal
58,Male,1.733481726765676,84.92692423340705,28.26225820171169,Overweight
58,Male,1.83980924320912,106.97325321997296,31.60309456758996,Obese
26,Male,1.945175558313405,73.59650968599456,19.45089594831381,Normal
58,Female,1.736748146880969,99.9691648932536,33.143042663399555,Obese
29,Male,1.9522062186055555,102.22255975488572,26.82226001335264,Overweight
47,Male,1.7239585986202672,60.076604855685794,20.21397467898541,Normal
36,Male,1.8962308984684255,105.01058941216218,29.204559372979453,Overweight
