Person ID,Gender,Age,Height,Weight
1,Male,29.0,1.8205207456093635,76.8119746214605
2,Male,23.0,1.9454984694492776,77.72115363470942
3,Female,57.0,1.7427535916333587,87.55872592340654
4,Male,41.0,1.7583181917786923,89.47335605817275
5,Male,19.0,1.7225701472862902,69.9639425959133
6,Female,26.0,1.4985037637955143,62.91362730046907
7,Male,33.0,1.8647383078052528,53.59834106266945
8,Female,63.0,1.7430993878164431,105.0780612405418
9,Female,59.0,1.8189825305895728,87.69835784862512
10,Male,65.0,1.710348655262098,74.79890132999351
11,Female,55.0,1.4695780253227806,67.39965575959646
12,Male,43.0,1.742247639916897,88.12823265342732
13,Female,36.0,1.7114955267972547,68.59003882079857
14,Female,51.0,1.691677419559802,85.60970791954526
15,Male,35.0,1.928489682072484,93.57970614897076
16,Female,27.0,1.6116679092457993,66.83983009628085
17,Male,62.0,1.870008710022792,79.1747925190742
18,Male,62.0,1.8663828778952147,78.52224622293157
19,Female,41.0,1.796553821310825,80.44258677448136
20,Female,23.0,1.7392782165650489,81.13066662743725
21,Male,56.0,1.977931342576701,78.23640694719901
22,Male,60.0,1.899318133095511,94.43779908801352
23,Female,58.0,1.583891088625709,71.92683942208336
24,Female,59.0,1.696171735686015,96.762413305645
25,Male,34.0,1.724531300559586,103.17132593472068
26,Female,59.0,1.6290897531553448,90.72824200193575
27,Male,21.0,1.893904452487276,101.49655198603412
28,Male,32.0,1.9243768948544728,98.56277403471232
29,Male,59.0,1.9053625317858995,78.36672657888828
30,Male,47.0,1.7073678296102195,97.97924434434805
31,Female,43.0,1.7403338923384024,76.81872435142272
32,Female,58.0,1.732133661453636,100.0356608182885
33,Female,46.0,1.7960844753468197,91.20145268113006
34,Male,47.0,1.8092833081795128,104.07069395625808
35,Female,39.0,1.8243771799636497,61.15067408773928
36,Male,48.0,1.9708413328682992,107.69591594337578
37,Male,33.0,1.7348822020900991,57.56968710192194
38,Male,32.0,1.97046690783324,88.41572777282536
39,Male,62.0,1.9323492118336365,73.81231407491309
40,Female,35.0,1.755242045691617,104.43714672359704
41,Female,28.0,1.58532157933202,58.06326289422947
42,Female,22.0,1.798791725150922,99.36998652628864
43,Female,63.0,1.4770795258364962,67.20306778020192
44,Male,63.0,1.9315443238625287,96.99202257822272
45,Male,42.0,1.9472469909970136,71.51307788663478
46,Female,51.0,1.746748513856306,73.53059165893546
47,Female,62.0,1.4570439580228165,71.50112131198561
48,Male,43.0,1.9461803842018843,65.38342359965482
49,Female,31.0,1.6762479047760042,85.65970393550928
50,Female,23.0,1.7089178544461907,81.83307484380201
51,Female,35.0,1.642221327236414,84.97026392688562
52,Female,43.0,1.7314413366060015,61.59668675146136
53,Male,52.0,1.912291102213385,95.23154383513832
54,Male,23.0,1.896796268719052,80.03680379191704
55,Male,58.0,1.733481726765676,84.92692423340705
56,Male,58.0,1.83980924320912,106.97325321997296
57,Male,26.0,1.945175558313405,73.59650968599456
58,Female,58.0,1.736748146880969,99.9691648932536
59,Male,29.0,1.9522062186055555,102.22255975488572
60,Male,47.0,1.7239585986202672,60.076604855685794
61,Male,36.0,1.8962308984684253,105.01058941216218
62,Female,32.0,1.7390729792498123,105.28785028557353
63,Male,42.0,1.92977087708994,90.03786696013354
64,Female,48.0,1.7445753551707792,104.38222511137364
65,Male,42.0,1.879258657616361,107.23873602661014
